               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015598,           0.0047724,          0.00034631,             0.97097,                0.96,             0.98218,             0.70472,            0.025921,           0.0042996,          0.00044683,             0.00898,             0.00898,             0.00898
                  36,            0.015405,           0.0047021,          0.00034508,             0.97249,             0.95704,             0.98353,             0.71564,            0.024957,           0.0043189,          0.00046186,             0.00895,             0.00895,             0.00895
                  37,            0.015297,           0.0046547,          0.00034499,             0.96737,             0.96681,             0.99013,              0.7217,            0.024398,           0.0042466,          0.00045765,             0.00892,             0.00892,             0.00892
                  38,            0.015024,           0.0046122,          0.00034185,             0.96847,             0.95385,             0.98041,             0.71243,            0.025395,           0.0044294,          0.00047634,             0.00889,             0.00889,             0.00889
                  39,            0.015024,           0.0045406,          0.00034493,             0.96505,             0.95148,             0.97924,             0.70753,            0.025207,           0.0045132,          0.00049248,             0.00886,             0.00886,             0.00886
                  40,            0.014752,           0.0044955,          0.00034205,             0.97312,             0.93557,             0.97786,             0.70257,            0.026581,           0.0046426,          0.00052737,             0.00883,             0.00883,             0.00883
                  41,              0.0148,           0.0044496,          0.00034408,             0.97015,             0.95385,             0.97992,             0.70898,            0.025308,            0.004566,           0.0005016,              0.0088,              0.0088,              0.0088
                  42,             0.01444,            0.004368,          0.00033844,             0.97363,             0.95444,             0.98081,              0.7016,            0.025638,           0.0047139,          0.00053102,             0.00877,             0.00877,             0.00877
                  43,            0.014303,           0.0043168,          0.00033895,             0.97028,             0.95815,             0.98369,             0.71303,            0.024695,           0.0047148,          0.00052852,             0.00874,             0.00874,             0.00874
                  44,            0.014069,           0.0042901,          0.00033756,             0.96826,             0.95385,             0.98106,             0.70344,            0.025062,           0.0048731,          0.00054845,             0.00871,             0.00871,             0.00871
                  45,            0.014036,           0.0042084,          0.00033498,             0.96188,             0.94722,              0.9768,             0.70092,            0.025129,           0.0051737,          0.00060684,             0.00868,             0.00868,             0.00868
                  46,            0.013881,           0.0041804,          0.00033412,             0.96831,             0.95077,             0.98057,             0.70044,            0.025462,           0.0050217,          0.00058566,             0.00865,             0.00865,             0.00865
                  47,            0.013828,             0.00419,          0.00033481,             0.96926,             0.95071,             0.98005,             0.69993,            0.025428,           0.0050063,          0.00059336,             0.00862,             0.00862,             0.00862
                  48,            0.013609,           0.0041469,          0.00033028,             0.96568,             0.95323,             0.97798,             0.69504,            0.026053,           0.0050628,          0.00060542,             0.00859,             0.00859,             0.00859
                  49,            0.013592,           0.0040765,          0.00032895,             0.97104,             0.94902,             0.97808,             0.69849,            0.026045,           0.0050373,           0.0005991,             0.00856,             0.00856,             0.00856
                  50,            0.013352,           0.0040198,          0.00032454,             0.96794,             0.94742,             0.97767,              0.6964,            0.026018,           0.0051867,           0.0006233,             0.00853,             0.00853,             0.00853
                  51,            0.013354,           0.0040155,          0.00032821,             0.97449,             0.94017,              0.9795,              0.6966,            0.025843,           0.0051664,          0.00061874,              0.0085,              0.0085,              0.0085
                  52,            0.013316,           0.0039733,          0.00032639,              0.9611,             0.93723,             0.97631,             0.69281,            0.026012,           0.0053556,          0.00065127,             0.00847,             0.00847,             0.00847
                  53,            0.013238,           0.0039619,          0.00032757,             0.96002,             0.93723,             0.97593,             0.69464,            0.026133,           0.0054275,          0.00067624,             0.00844,             0.00844,             0.00844
                  54,             0.01319,           0.0039394,          0.00032585,             0.96522,             0.93935,             0.97574,             0.69224,            0.026332,            0.005398,          0.00067731,             0.00841,             0.00841,             0.00841
                  55,            0.013037,           0.0039334,          0.00032436,               0.967,              0.9376,             0.97409,             0.68921,            0.026613,            0.005403,          0.00068258,             0.00838,             0.00838,             0.00838
                  56,            0.013141,           0.0039076,          0.00032465,             0.96834,             0.93538,             0.97549,             0.68762,            0.026604,           0.0053797,          0.00068226,             0.00835,             0.00835,             0.00835
                  57,            0.012761,           0.0038429,          0.00032045,             0.97759,             0.93538,             0.97521,             0.68692,            0.026468,           0.0053426,          0.00068061,             0.00832,             0.00832,             0.00832
                  58,            0.012784,           0.0038636,          0.00032016,             0.97177,             0.94154,             0.97474,             0.68809,            0.026139,           0.0053481,          0.00068418,             0.00829,             0.00829,             0.00829
                  59,            0.012799,           0.0038312,          0.00031546,             0.97366,             0.93969,             0.97487,             0.68633,             0.02617,           0.0053807,          0.00069005,             0.00826,             0.00826,             0.00826
                  60,            0.012744,           0.0038186,          0.00031527,             0.97799,             0.92963,             0.97348,             0.68558,            0.026299,           0.0054439,          0.00070256,             0.00823,             0.00823,             0.00823
                  61,            0.012624,           0.0037618,          0.00031367,             0.97636,             0.93354,             0.97316,               0.686,            0.026376,           0.0054438,          0.00070322,              0.0082,              0.0082,              0.0082
