               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02883,           0.0056264,          0.00037227,             0.94333,             0.93108,              0.9574,             0.57304,            0.034947,            0.004965,          0.00035472,             0.00898,             0.00898,             0.00898
                  36,             0.02856,           0.0056056,          0.00037793,             0.93556,             0.94092,             0.96191,             0.56778,            0.035007,           0.0049714,          0.00036729,             0.00895,             0.00895,             0.00895
                  37,            0.028037,           0.0055323,          0.00037713,             0.94024,             0.93915,             0.96157,             0.56782,            0.035088,           0.0049974,          0.00036577,             0.00892,             0.00892,             0.00892
                  38,            0.027819,           0.0054907,          0.00037219,             0.93742,             0.94033,             0.96188,             0.57207,            0.034789,           0.0050011,          0.00036347,             0.00889,             0.00889,             0.00889
                  39,            0.027221,           0.0054084,          0.00036765,              0.9425,               0.936,             0.96031,             0.57299,            0.034762,           0.0050328,          0.00036945,             0.00886,             0.00886,             0.00886
                  40,            0.026752,           0.0053563,          0.00036374,             0.93223,             0.93785,             0.95295,              0.5628,            0.034916,           0.0051045,          0.00037227,             0.00883,             0.00883,             0.00883
                  41,            0.026277,           0.0052771,           0.0003614,              0.9388,             0.94397,             0.96082,             0.56898,            0.034746,            0.005131,          0.00037298,              0.0088,              0.0088,              0.0088
                  42,            0.025844,           0.0052335,          0.00037182,             0.94407,             0.93487,             0.95751,             0.56309,            0.034874,           0.0051849,          0.00039216,             0.00877,             0.00877,             0.00877
                  43,            0.025859,           0.0052138,          0.00037271,             0.94609,             0.93662,             0.95469,             0.55623,            0.034797,           0.0052324,          0.00040165,             0.00874,             0.00874,             0.00874
                  44,            0.025355,           0.0051489,           0.0003726,             0.93959,             0.92848,             0.94465,             0.55345,            0.035021,           0.0053036,          0.00041436,             0.00871,             0.00871,             0.00871
                  45,            0.024869,           0.0050757,          0.00036864,             0.94643,             0.93538,              0.9589,              0.5589,            0.035111,           0.0053073,          0.00041585,             0.00868,             0.00868,             0.00868
                  46,            0.024538,           0.0050416,          0.00037159,             0.94905,             0.92852,             0.95559,              0.5629,            0.035086,           0.0053345,          0.00042191,             0.00865,             0.00865,             0.00865
                  47,            0.024187,           0.0049705,          0.00036364,             0.95114,             0.93446,              0.9588,             0.56677,            0.035066,           0.0053727,          0.00042717,             0.00862,             0.00862,             0.00862
                  48,            0.024093,           0.0049401,          0.00036692,             0.95068,             0.92923,             0.95732,             0.56718,            0.034931,           0.0054118,          0.00043169,             0.00859,             0.00859,             0.00859
                  49,            0.023635,           0.0048763,          0.00036672,             0.93787,             0.93822,             0.95686,              0.5652,            0.035091,           0.0054759,          0.00043789,             0.00856,             0.00856,             0.00856
                  50,            0.023506,           0.0048408,          0.00036968,             0.93819,             0.93414,             0.95432,             0.56577,            0.035029,           0.0055011,          0.00044395,             0.00853,             0.00853,             0.00853
                  51,            0.023018,           0.0047679,          0.00036379,             0.93682,             0.93723,             0.95422,             0.56128,            0.035049,           0.0055542,          0.00044979,              0.0085,              0.0085,              0.0085
                  52,            0.022668,           0.0046999,            0.000358,              0.9473,             0.93169,             0.95685,             0.56415,            0.034943,           0.0056053,          0.00045647,             0.00847,             0.00847,             0.00847
                  53,            0.022475,           0.0046702,          0.00036239,             0.93896,             0.93711,             0.95541,             0.56291,            0.034973,           0.0056434,          0.00046484,             0.00844,             0.00844,             0.00844
                  54,            0.022269,           0.0046076,          0.00036281,              0.9424,               0.936,             0.95373,              0.5584,            0.035051,           0.0056967,          0.00047319,             0.00841,             0.00841,             0.00841
                  55,            0.022074,           0.0045936,          0.00036224,             0.94368,             0.92985,             0.95288,             0.55846,            0.035081,           0.0057538,          0.00048183,             0.00838,             0.00838,             0.00838
                  56,             0.02174,           0.0045345,          0.00035979,             0.94357,             0.92985,             0.95142,             0.55641,              0.0351,           0.0058014,          0.00049148,             0.00835,             0.00835,             0.00835
                  57,            0.021502,           0.0044809,          0.00035551,             0.93867,             0.93247,             0.95049,             0.55402,            0.035182,           0.0058701,          0.00050401,             0.00832,             0.00832,             0.00832
                  58,            0.021414,           0.0044537,          0.00035798,             0.93805,             0.93178,              0.9493,             0.55251,            0.035232,           0.0059259,          0.00051271,             0.00829,             0.00829,             0.00829
                  59,            0.021385,           0.0044294,          0.00036005,             0.93711,             0.93723,             0.95036,             0.55147,            0.035302,           0.0059676,          0.00051853,             0.00826,             0.00826,             0.00826
