               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049292,            0.023552,             0.01623,             0.90826,             0.89273,             0.93356,             0.62389,            0.044142,            0.019241,            0.013521,           0.0063694,           0.0063694,           0.0063694
                  37,            0.049119,            0.023559,            0.016202,             0.90802,             0.89273,             0.93419,             0.62422,            0.044127,            0.019166,            0.013509,           0.0063457,           0.0063457,           0.0063457
                  38,            0.049128,            0.023584,            0.016159,             0.91001,             0.89493,             0.93541,             0.62503,            0.044007,            0.019124,            0.013498,           0.0063219,           0.0063219,           0.0063219
                  39,            0.049232,            0.023772,            0.016211,             0.90989,             0.89445,             0.93547,             0.62441,            0.044059,            0.019183,            0.013506,           0.0062982,           0.0062982,           0.0062982
                  40,             0.04897,            0.023384,            0.016135,             0.91348,             0.89545,             0.93572,             0.62562,            0.044003,            0.019143,             0.01346,           0.0062745,           0.0062745,           0.0062745
                  41,            0.048836,            0.023458,            0.016071,             0.91433,             0.89478,             0.93613,             0.62802,            0.043923,            0.019095,            0.013448,           0.0062507,           0.0062507,           0.0062507
                  42,             0.04888,            0.023252,            0.016108,             0.91353,             0.89607,             0.93708,             0.62845,             0.04386,            0.019051,            0.013403,            0.006227,            0.006227,            0.006227
                  43,             0.04888,            0.023281,            0.016115,             0.91318,             0.89868,             0.93738,             0.62842,            0.043861,            0.019075,             0.01343,           0.0062033,           0.0062033,           0.0062033
                  44,            0.048792,            0.023463,            0.016079,             0.91353,             0.89749,             0.93713,             0.62814,            0.043844,            0.019094,            0.013464,           0.0061795,           0.0061795,           0.0061795
                  45,            0.048693,            0.023119,            0.016034,             0.91479,             0.89653,             0.93669,             0.62991,            0.043752,            0.019081,            0.013449,           0.0061558,           0.0061558,           0.0061558
                  46,            0.048727,            0.023158,            0.016071,             0.91467,             0.89748,              0.9371,             0.63018,            0.043778,            0.019073,             0.01346,           0.0061321,           0.0061321,           0.0061321
                  47,            0.048604,            0.023022,            0.016025,             0.91558,             0.89709,             0.93702,              0.6304,            0.043754,            0.019074,            0.013469,           0.0061083,           0.0061083,           0.0061083
                  48,            0.048591,            0.023094,            0.016009,             0.91472,               0.897,             0.93655,             0.63064,              0.0437,            0.019063,            0.013456,           0.0060846,           0.0060846,           0.0060846
                  49,            0.048453,            0.023004,            0.015982,             0.91466,             0.89968,             0.93711,             0.63083,            0.043686,            0.019039,            0.013459,           0.0060609,           0.0060609,           0.0060609
                  50,            0.048349,            0.022895,            0.015926,             0.91295,             0.90094,             0.93725,             0.63099,            0.043709,            0.019058,            0.013465,           0.0060371,           0.0060371,           0.0060371
                  51,            0.048523,             0.02293,            0.015978,             0.91444,             0.89933,             0.93689,             0.63162,            0.043683,            0.019055,            0.013443,           0.0060134,           0.0060134,           0.0060134
                  52,            0.048289,            0.022979,             0.01591,             0.91333,             0.89863,              0.9364,             0.63104,             0.04369,            0.019072,            0.013456,           0.0059897,           0.0059897,           0.0059897
                  53,            0.048325,            0.022973,            0.015926,             0.91381,             0.89852,             0.93682,             0.63165,            0.043661,            0.019069,            0.013451,            0.005966,            0.005966,            0.005966
                  54,            0.048236,            0.022671,            0.015899,              0.9141,             0.89841,             0.93609,             0.63114,            0.043641,            0.019076,            0.013451,           0.0059422,           0.0059422,           0.0059422
                  55,            0.048242,            0.022769,            0.015893,              0.9145,             0.89798,              0.9359,             0.63138,            0.043619,            0.019075,            0.013455,           0.0059185,           0.0059185,           0.0059185
                  56,            0.048282,            0.022857,            0.015868,             0.91583,             0.89722,             0.93604,             0.63091,            0.043629,            0.019088,            0.013467,           0.0058948,           0.0058948,           0.0058948
                  57,            0.048208,            0.022814,            0.015899,             0.91571,             0.89739,             0.93562,             0.63053,            0.043635,            0.019096,            0.013466,            0.005871,            0.005871,            0.005871
                  58,            0.048199,            0.022574,            0.015935,              0.9159,             0.89819,             0.93553,             0.63035,            0.043612,            0.019095,            0.013461,           0.0058473,           0.0058473,           0.0058473
                  59,            0.048211,            0.022668,            0.015912,             0.91544,             0.89888,             0.93565,             0.63102,            0.043594,             0.01909,            0.013461,           0.0058236,           0.0058236,           0.0058236
                  60,            0.048119,            0.022657,            0.015869,             0.91596,             0.89963,             0.93584,             0.63071,            0.043573,            0.019086,            0.013456,           0.0057998,           0.0057998,           0.0057998
                  61,            0.048104,            0.022795,            0.015891,             0.91571,             0.90047,             0.93622,             0.63084,            0.043554,            0.019085,            0.013452,           0.0057761,           0.0057761,           0.0057761
                  62,            0.047979,            0.022705,            0.015814,             0.91548,             0.90053,             0.93624,             0.63167,            0.043525,            0.019073,            0.013448,           0.0057524,           0.0057524,           0.0057524
                  63,            0.047966,            0.022466,            0.015852,             0.91565,             0.90061,             0.93682,             0.63227,            0.043499,            0.019067,            0.013443,           0.0057286,           0.0057286,           0.0057286
                  64,            0.047828,            0.022491,            0.015792,             0.91645,             0.89981,             0.93703,             0.63284,            0.043481,            0.019059,            0.013438,           0.0057049,           0.0057049,           0.0057049
                  65,            0.047895,             0.02235,            0.015812,              0.9171,             0.90053,              0.9372,             0.63304,            0.043461,            0.019058,            0.013435,           0.0056812,           0.0056812,           0.0056812
                  66,            0.047749,            0.022458,            0.015762,             0.91651,             0.90096,             0.93672,             0.63325,            0.043454,             0.01906,            0.013438,           0.0056574,           0.0056574,           0.0056574
                  67,            0.047846,            0.022471,            0.015777,             0.91634,             0.90072,              0.9365,             0.63327,            0.043447,            0.019057,             0.01344,           0.0056337,           0.0056337,           0.0056337
                  68,             0.04779,            0.022398,            0.015772,             0.91631,             0.90115,             0.93656,              0.6335,            0.043433,            0.019054,            0.013441,             0.00561,             0.00561,             0.00561
                  69,             0.04771,            0.022251,            0.015757,             0.91549,             0.90119,             0.93605,             0.63395,            0.043437,            0.019058,             0.01345,           0.0055862,           0.0055862,           0.0055862
                  70,            0.047666,            0.022374,            0.015748,             0.91521,             0.90157,             0.93638,             0.63413,            0.043419,            0.019053,            0.013444,           0.0055625,           0.0055625,           0.0055625
                  71,            0.047566,            0.022358,            0.015713,             0.91554,             0.90053,             0.93634,              0.6344,            0.043414,            0.019051,            0.013447,           0.0055388,           0.0055388,           0.0055388
                  72,            0.047683,            0.022335,            0.015748,              0.9153,             0.90087,             0.93675,             0.63447,            0.043408,            0.019051,             0.01345,           0.0055151,           0.0055151,           0.0055151
                  73,            0.047572,            0.022237,            0.015718,             0.91519,             0.90054,             0.93639,             0.63464,            0.043405,            0.019053,            0.013451,           0.0054913,           0.0054913,           0.0054913
                  74,            0.047433,            0.022125,            0.015661,             0.91468,             0.90098,             0.93636,             0.63476,            0.043406,            0.019055,            0.013455,           0.0054676,           0.0054676,           0.0054676
                  75,            0.047539,            0.022204,            0.015712,             0.91516,             0.90035,             0.93642,             0.63478,            0.043401,            0.019054,            0.013458,           0.0054439,           0.0054439,           0.0054439
                  76,            0.047403,            0.022028,            0.015662,             0.91517,             0.90082,             0.93659,             0.63431,            0.043402,            0.019056,            0.013463,           0.0054201,           0.0054201,           0.0054201
                  77,            0.047401,            0.022006,            0.015677,             0.91545,             0.90059,             0.93646,             0.63424,            0.043404,            0.019061,            0.013468,           0.0053964,           0.0053964,           0.0053964
                  78,            0.047403,            0.022094,            0.015669,             0.91542,             0.90071,             0.93626,             0.63402,              0.0434,            0.019059,             0.01347,           0.0053727,           0.0053727,           0.0053727
                  79,            0.047312,            0.021979,             0.01564,               0.915,             0.90064,             0.93623,             0.63399,            0.043394,            0.019056,             0.01347,           0.0053489,           0.0053489,           0.0053489
                  80,            0.047287,            0.021982,            0.015633,             0.91483,             0.90097,             0.93614,             0.63381,            0.043394,            0.019057,            0.013474,           0.0053252,           0.0053252,           0.0053252
                  81,            0.047292,            0.021869,            0.015629,             0.91462,             0.90075,             0.93595,             0.63345,            0.043395,             0.01906,            0.013479,           0.0053015,           0.0053015,           0.0053015
                  82,            0.047334,            0.021953,            0.015627,             0.91508,             0.90081,             0.93628,             0.63341,             0.04339,             0.01906,            0.013479,           0.0052777,           0.0052777,           0.0052777
                  83,            0.047171,            0.021946,            0.015575,             0.91432,             0.90011,             0.93602,             0.63329,            0.043387,            0.019061,            0.013482,            0.005254,            0.005254,            0.005254
                  84,            0.047084,            0.021905,            0.015584,             0.91505,             0.89971,              0.9361,             0.63379,            0.043377,            0.019057,            0.013478,           0.0052303,           0.0052303,           0.0052303
                  85,            0.047094,            0.021731,             0.01558,             0.91512,             0.90019,              0.9361,             0.63378,             0.04337,            0.019055,            0.013478,           0.0052065,           0.0052065,           0.0052065
